mode,pattern,injection_rate,offered_load,expected_generated,packets_injected,packets_received,injection_acceptance,delivery_ratio,throughput,queueing_latency,network_latency,packet_latency,average_hops,average_link_utilization,adaptive_hops,escape_hops,escape_transitions,escape_hop_fraction,sim_ticks,sim_freq
torus3d_dor,uniform_random,0.36,0.18,115200.0,115134.0,115006.0,0.9994270833333333,0.9988882519499018,0.179696875,2.0,9.31214,11.31214,3.000278,57.544,0.0,0.0,0.0,0.0,10000.0,2000000000.0
torus3d_dor,uniform_random,0.38,0.19,121600.0,121411.0,121271.0,0.9984457236842105,0.9988468919620134,0.1894859375,2.0,9.33741,11.33741,3.000577,60.6881,0.0,0.0,0.0,0.0,10000.0,2000000000.0
torus3d_dor,uniform_random,0.4,0.2,128000.0,127850.0,127721.0,0.998828125,0.9989910050840829,0.1995640625,2.0,9.342465,11.342465,2.997181,63.8652,0.0,0.0,0.0,0.0,10000.0,2000000000.0
torus3d_dor,uniform_random,0.42,0.21,134400.0,134152.0,134024.0,0.9981547619047619,0.9990458584292444,0.2094125,2.0,9.373724,11.373724,3.002276,67.0803,0.0,0.0,0.0,0.0,10000.0,2000000000.0
torus3d_dor,uniform_random,0.44,0.22,140800.0,140661.0,140529.0,0.9990127840909091,0.9990615735704993,0.2195765625,2.0,9.387144,11.387144,2.999715,70.2986,0.0,0.0,0.0,0.0,10000.0,2000000000.0
torus3d_dor,uniform_random,0.46,0.23,147200.0,146960.0,146818.0,0.9983695652173913,0.9990337506804573,0.229403125,2.0,9.406013,11.406013,3.00002,73.4542,0.0,0.0,0.0,0.0,10000.0,2000000000.0
torus3d_dor,uniform_random,0.48,0.24,153600.0,153229.0,153064.0,0.9975846354166666,0.9989231803379256,0.2391625,2.0,9.441678,11.441678,3.007716,76.7023,0.0,0.0,0.0,0.0,10000.0,2000000000.0
torus3d_dor,uniform_random,0.5,0.25,160000.0,159529.0,159392.0,0.99705625,0.9991412219721806,0.24905,2.0,9.447381,11.447381,2.998883,79.7198,0.0,0.0,0.0,0.0,10000.0,2000000000.0
torus3d_dor,uniform_random,0.52,0.26,166400.0,166218.0,166038.0,0.99890625,0.9989170847922607,0.259434375,2.0,9.476295,11.476295,3.001945,83.1066,0.0,0.0,0.0,0.0,10000.0,2000000000.0
torus3d_dor,uniform_random,0.54,0.27,172800.0,172492.0,172307.0,0.9982175925925926,0.9989274864921271,0.2692296875,2.0,9.479139,11.479139,2.997365,86.1624,0.0,0.0,0.0,0.0,10000.0,2000000000.0
torus3d_dor,uniform_random,0.56,0.28,179200.00000000003,178832.0,178643.0,0.9979464285714285,0.99894314216695,0.2791296875,2.0,9.517608,11.517608,3.001853,89.4102,0.0,0.0,0.0,0.0,10000.0,2000000000.0
torus3d_dor,uniform_random,0.58,0.29,185600.0,185199.0,185005.0,0.9978394396551724,0.9989524781451303,0.2890703125,2.000005,9.538958,11.538964,3.000438,92.5686,0.0,0.0,0.0,0.0,10000.0,2000000000.0
torus3d_dor,uniform_random,0.6,0.3,192000.0,191612.0,191409.0,0.9979791666666666,0.998940567396614,0.2990765625,2.0,9.560689,11.560689,2.998401,95.7365,0.0,0.0,0.0,0.0,10000.0,2000000000.0
torus3d_dor,uniform_random,0.62,0.31,198400.0,198029.0,197831.0,0.9981300403225807,0.9990001464431977,0.3091109375,2.0,9.591682,11.591682,3.003897,99.0506,0.0,0.0,0.0,0.0,10000.0,2000000000.0
torus3d_dor,uniform_random,0.64,0.32,204800.0,204347.0,204141.0,0.9977880859375,0.9989919108183629,0.3189703125,2.0,9.618426,11.618426,3.003091,102.1974,0.0,0.0,0.0,0.0,10000.0,2000000000.0
torus3d_dor,uniform_random,0.66,0.33,211200.0,210736.0,210517.0,0.9978030303030303,0.9989607850580822,0.3289328125,2.0,9.64134,11.64134,3.000584,105.3371,0.0,0.0,0.0,0.0,10000.0,2000000000.0
torus3d_dor,uniform_random,0.68,0.34,217600.00000000003,217207.0,216974.0,0.9981939338235293,0.9989272905569342,0.339021875,2.0,9.670149,11.670149,3.000111,108.5623,0.0,0.0,0.0,0.0,10000.0,2000000000.0
torus3d_dor,uniform_random,0.7,0.35,224000.0,223803.0,223552.0,0.9991205357142857,0.9988784779471231,0.3493,2.0,9.709432,11.709432,3.006441,111.9949,0.0,0.0,0.0,0.0,10000.0,2000000000.0
torus3d_dor,uniform_random,0.72,0.36,230400.0,230099.0,229869.0,0.9986935763888889,0.9990004302495882,0.3591703125,2.000009,9.71931,11.719318,2.996959,114.9347,0.0,0.0,0.0,0.0,10000.0,2000000000.0
torus3d_dor,uniform_random,0.74,0.37,236800.0,236467.0,236222.0,0.99859375,0.9989639146265652,0.369096875,2.000013,9.763066,11.763079,2.999373,118.1697,0.0,0.0,0.0,0.0,10000.0,2000000000.0
