pattern,injection_rate,offered_load,packets_injected,packets_received,throughput,delivery_ratio,queueing_latency,network_latency,packet_latency,average_hops,sim_ticks,sim_freq
tornado,0.02,0.01,6392.0,6388.0,0.00998125,0.9993742177722152,2.0,10.509862,12.509862,3.74139,10000.0,2000000000.0
tornado,0.03,0.015,9506.0,9495.0,0.0148359375,0.9988428361035135,2.0,10.52217,12.52217,3.741443,10000.0,2000000000.0
tornado,0.04,0.02,12607.0,12593.0,0.0196765625,0.9988895058300944,2.0,10.530453,12.530453,3.74057,10000.0,2000000000.0
tornado,0.05,0.025,15968.0,15949.0,0.0249203125,0.998810120240481,2.0,10.550191,12.550191,3.744498,10000.0,2000000000.0
tornado,0.06,0.03,19104.0,19078.0,0.029809375,0.9986390284757118,2.0,10.573068,12.573068,3.750288,10000.0,2000000000.0
tornado,0.07,0.035,22259.0,22227.0,0.0347296875,0.9985623792623208,2.0,10.582175,12.582175,3.748549,10000.0,2000000000.0
tornado,0.08,0.04,25466.0,25428.0,0.03973125,0.9985078143406896,2.0,10.59816,12.59816,3.749646,10000.0,2000000000.0
tornado,0.09,0.045,28697.0,28656.0,0.044775,0.9985712792277939,2.0,10.607377,12.607377,3.747697,10000.0,2000000000.0
tornado,0.1,0.05,31948.0,31903.0,0.0498484375,0.9985914611243271,2.0,10.62386,12.62386,3.749459,10000.0,2000000000.0
tornado,0.11,0.055,35122.0,35073.0,0.0548015625,0.9986048630488014,2.0,10.635332,12.635332,3.749123,10000.0,2000000000.0
tornado,0.12,0.06,38292.0,38239.0,0.0597484375,0.9986158988822731,2.0,10.643845,12.643845,3.746358,10000.0,2000000000.0
tornado,0.13,0.065,41433.0,41379.0,0.0646546875,0.9986966910433712,2.0,10.662002,12.662002,3.747964,10000.0,2000000000.0
tornado,0.14,0.07,44569.0,44511.0,0.0695484375,0.9986986470416658,2.0,10.676934,12.676934,3.748759,10000.0,2000000000.0
tornado,0.15,0.075,47760.0,47699.0,0.0745296875,0.9987227805695142,2.0,10.68752,12.68752,3.746934,10000.0,2000000000.0
tornado,0.16,0.08,50975.0,50910.0,0.079546875,0.9987248651299657,2.0,10.70332,12.70332,3.747319,10000.0,2000000000.0
tornado,0.17,0.085,54179.0,54110.0,0.084546875,0.9987264438250982,2.0,10.717391,12.717391,3.747662,10000.0,2000000000.0
tornado,0.18,0.09,57392.0,57321.0,0.0895640625,0.9987628937831057,2.0,10.734077,12.734077,3.74744,10000.0,2000000000.0
tornado,0.19,0.095,60619.0,60542.0,0.094596875,0.9987297711938501,2.0,10.750735,12.750735,3.748703,10000.0,2000000000.0
tornado,0.2,0.1,63806.0,63725.0,0.0995703125,0.998730526909695,2.0,10.768082,12.768082,3.748686,10000.0,2000000000.0
tornado,0.21,0.105,66989.0,66905.0,0.1045390625,0.9987460627864276,2.0,10.783962,12.783962,3.747777,10000.0,2000000000.0
