config,pattern,rate,pd_throughput,global_throughput,throughput_delta_pct,pd_latency,global_latency,latency_delta_pct,pd_pool_blocks,global_pool_blocks,pd_deadlock,global_deadlock
B6_dpesc_v7_s6,torus3d_transpose,0.25,0.1244140625,0.1244140625,0.0,11.174355,11.174355,0.0,0,0,0,0
B6_dpesc_v7_s6,torus3d_transpose,0.3,0.1495453125,0.1495453125,0.0,11.203513,11.203513,0.0,0,0,0,0
B6_dpesc_v7_s6,torus3d_transpose,0.35,0.1743609375,0.1743609375,0.0,11.234195,11.234195,0.0,0,0,0,0
B6_dpesc_v7_s6,torus3d_transpose,0.4,0.199228125,0.199228125,0.0,11.266427,11.266427,0.0,0,0,0,0
B6_dpesc_v7_s6,torus3d_transpose,0.45,0.2240734375,0.2240734375,0.0,11.293772,11.293772,0.0,0,0,0,0
B6_dpesc_v7_s6,torus3d_transpose,0.5,0.2488953125,0.2488953125,0.0,11.324904,11.324904,0.0,0,0,0,0
B6_dpesc_v7_s6,torus3d_xopposite,0.05,0.024928125,0.024928125,0.0,9.025574,9.025574,0.0,0,0,0,0
B6_dpesc_v7_s6,torus3d_xopposite,0.1,0.04986875,0.04986875,0.0,9.051166,9.051166,0.0,0,0,0,0
B6_dpesc_v7_s6,torus3d_xopposite,0.15,0.074559375,0.074559375,0.0,9.076743,9.076743,0.0,0,0,0,0
B6_dpesc_v7_s6,torus3d_xopposite,0.2,0.099609375,0.099609375,0.0,9.106886,9.106886,0.0,0,0,0,0
B6_dpesc_v7_s6,torus3d_xopposite,0.25,0.124446875,0.124446875,0.0,9.132737,9.132737,0.0,0,0,0,0
B6_dpesc_v7_s6,torus3d_xopposite,0.3,0.1495796875,0.1495796875,0.0,9.160011,9.160011,0.0,0,0,0,0
B6_dpesc_v7_s6,torus3d_xopposite,0.35,0.1744015625,0.1744015625,0.0,9.188278,9.188278,0.0,0,0,0,0
B6_dpesc_v7_s6,torus3d_xopposite,0.4,0.199271875,0.199271875,0.0,9.214351,9.214351,0.0,0,0,0,0
B6_dpesc_v7_s6,torus3d_xopposite,0.45,0.224125,0.224125,0.0,9.241125,9.241125,0.0,0,0,0,0
B6_dpesc_v7_s6,torus3d_xopposite,0.5,0.248946875,0.248946875,0.0,9.267646,9.267646,0.0,0,0,0,0
B6_dpesc_v7_s6,uniform_random,0.05,0.0249359375,0.0249359375,0.0,11.039852,11.039852,0.0,0,0,0,0
B6_dpesc_v7_s6,uniform_random,0.1,0.0498953125,0.0498953125,0.0,11.113832,11.113832,0.0,0,0,0,0
B6_dpesc_v7_s6,uniform_random,0.15,0.0744765625,0.0744765625,0.0,11.140019,11.140019,0.0,0,0,0,0
B6_dpesc_v7_s6,uniform_random,0.2,0.0995796875,0.0995796875,0.0,11.180728,11.180728,0.0,0,0,0,0
B6_dpesc_v7_s6,uniform_random,0.25,0.1246578125,0.1246578125,0.0,11.230218,11.230218,0.0,0,0,0,0
B6_dpesc_v7_s6,uniform_random,0.3,0.149946875,0.149946875,0.0,11.285559,11.285559,0.0,0,0,0,0
B6_dpesc_v7_s6,uniform_random,0.35,0.1748296875,0.1748296875,0.0,11.308407,11.308407,0.0,0,0,0,0
B6_dpesc_v7_s6,uniform_random,0.4,0.1995640625,0.1995640625,0.0,11.353113,11.353113,0.0,0,0,0,0
B6_dpesc_v7_s6,uniform_random,0.45,0.224453125,0.224453125,0.0,11.411779,11.411779,0.0,0,0,0,0
B6_dpesc_v7_s6,uniform_random,0.5,0.2490484375,0.24905,0.0006273879955553952,11.448219,11.4489,0.005948523521426274,0,0,0,0
