mode,injection_rate,offered_load,expected_generated,vcs_per_vnet,ctrl_depth,wormhole,packets_injected,packets_received,flits_injected,flits_received,injection_acceptance,delivery_ratio,throughput,queueing_latency,network_latency,packet_latency,average_hops,average_link_utilization,sim_ticks,sim_freq
vc1_depth16_wormhole,0.09,0.045,7200.0,1,16,1,7129.0,7118.0,7129.0,7118.0,0.9901388888888889,0.99845700659279,0.0444875,2.0,11.154257,13.154257,4.001686,4.2757,10000.0,2000000000.0
vc1_depth16_wormhole,0.1,0.05,8000.0,1,16,1,7982.0,7972.0,7982.0,7972.0,0.99775,0.9987471811576046,0.049825,2.0,11.106749,13.106749,3.96864,4.7627,10000.0,2000000000.0
vc1_depth16_wormhole,0.11,0.055,8800.0,1,16,1,8820.0,8806.0,8820.0,8806.0,1.0022727272727272,0.9984126984126984,0.0550375,2.0,11.197138,13.197138,4.002725,5.2915,10000.0,2000000000.0
vc1_depth16_wormhole,0.12,0.06,9600.0,1,16,1,9570.0,9559.0,9570.0,9559.0,0.996875,0.9988505747126437,0.05974375,2.0,11.245109,13.245109,4.015692,5.7533,10000.0,2000000000.0
vc1_depth16_wormhole,0.13,0.065,10400.0,1,16,1,10369.0,10353.0,10369.0,10353.0,0.9970192307692308,0.9984569389526473,0.06470625,2.0,11.278373,13.278373,4.028977,6.2493,10000.0,2000000000.0
vc1_depth16_wormhole,0.14,0.07,11200.000000000002,1,16,1,11081.0,11069.0,11081.0,11069.0,0.9893749999999999,0.9989170652468189,0.06918125,2.0,11.299304,13.299304,4.032794,6.6826,10000.0,2000000000.0
vc1_depth16_wormhole,0.15,0.075,12000.0,1,16,1,11893.0,11880.0,11893.0,11880.0,0.9910833333333333,0.9989069200369965,0.07425,2.0,11.324747,13.324747,4.031145,7.1694,10000.0,2000000000.0
vc1_depth16_wormhole,0.16,0.08,12800.0,1,16,1,12725.0,12705.0,12725.0,12705.0,0.994140625,0.9984282907662082,0.07940625,2.0,11.233058,13.233058,3.975994,7.602,10000.0,2000000000.0
vc1_depth16_wormhole,0.17,0.085,13600.000000000002,1,16,1,13514.0,13499.0,13514.0,13499.0,0.9936764705882352,0.9988900399585615,0.08436875,2.0,11.260464,13.260464,3.980073,8.0784,10000.0,2000000000.0
vc1_depth16_wormhole,0.18,0.09,14400.0,1,16,1,14346.0,14325.0,14346.0,14325.0,0.99625,0.9985361773316604,0.08953125,2.0,11.380244,13.380244,4.028272,8.6428,10000.0,2000000000.0
vc1_depth16_wormhole,0.19,0.095,15200.0,1,16,1,15102.0,15085.0,15102.0,15085.0,0.9935526315789474,0.9988743212819494,0.09428125,2.0,11.359231,13.359231,4.01286,9.0776,10000.0,2000000000.0
vc1_depth16_wormhole,0.2,0.1,16000.0,1,16,1,15856.0,15841.0,15856.0,15841.0,0.991,0.9990539858728557,0.09900625,2.0,11.420996,13.420996,4.029922,9.5583,10000.0,2000000000.0
vc1_depth16_wormhole,0.21,0.105,16800.0,1,16,1,16690.0,16675.0,16690.0,16675.0,0.993452380952381,0.9991012582384662,0.10421875,2.0,11.322639,13.322639,3.974753,9.9682,10000.0,2000000000.0
